Gene,gRNA
ARHGEF2,NTC-10
ARHGEF39,NTC-10
ARHGEF7,NTC-10
ARHGEF9,NTC-10
ARID1A,NTC-10
ARID1B,NTC-10
ARID2,NTC-10
ARID3A,NTC-10
ARID3B,NTC-10
ARID4A,NTC-10
ARID4B,NTC-10
ARID5A,NTC-10
ARID5B,NTC-10
ARIH1,NTC-10
ARIH2,NTC-10
ARIH2OS,NTC-10
ARL13B,NTC-10
ARL14EP,NTC-10
ARL15,NTC-10
ARL16,NTC-10
ARL17A,NTC-10
ARL1,NTC-10
ARL2BP,NTC-10
ARL2,NTC-10
ARL3,NTC-10
ARL4A,NTC-10
ARL5A,NTC-10
ARL5B,NTC-10
ARL6IP1,NTC-10
ARL6IP4,NTC-10
ARL6IP5,NTC-10
ARL6IP6,NTC-10
ARL6,NTC-10
ARL8A,NTC-10
ARL8B,NTC-10
ARMC10,NTC-10
ARMC1,NTC-10
ARMC5,NTC-10
ARMC6,NTC-10
ARMC7,NTC-10
ARMC8,NTC-10
ARMCX3,NTC-10
ARMCX5,NTC-10
ARMCX6,NTC-10
ARMH4,NTC-10
ARMT1,NTC-10
ARNTL2,NTC-10
ARNT,NTC-10
ARPC1A,NTC-10
ARPC1B,NTC-10
ARPC2,NTC-10
ARPC3,NTC-10
ARPC4,NTC-10
ARPC5L,NTC-10
ARPC5,NTC-10
ARPP19,NTC-10
ARRB1,NTC-10
ARRB2,NTC-10
ARRDC1,NTC-10
ARRDC2,NTC-10
ARRDC3,NTC-10
ARRDC4,NTC-10
ARSA,NTC-10
ARSB,NTC-10
ARSG,NTC-10
ARSK,NTC-10
ARV1,NTC-10
ARVCF,NTC-10
ASAH1,NTC-10
ASAH2B,NTC-10
ASAP1,NTC-10
ASAP3,NTC-10
ASB13,NTC-10
ASB1,NTC-10
ASB3,NTC-10
ASB6,NTC-10
ASB7,NTC-10
ASB8,NTC-10
ASCC1,NTC-10
ASCC2,NTC-10
ASCC3,NTC-10
ASCL2,NTC-10
ASF1A,NTC-10
ASF1B,NTC-10
ASH1L,NTC-10
ASH2L,NTC-10
ASIC4,NTC-10
ASL,NTC-10
ASMTL,NTC-10
ASNA1,NTC-10
ASNSD1,NTC-10
ASNS,NTC-10
ASNSP1,NTC-10
ASPH,NTC-10
ASPM,NTC-10
ASPSCR1,NTC-10
ASRGL1,NTC-10
ASTN2,NTC-10
ASXL1,NTC-10
ASXL2,NTC-10
ATAD1,NTC-10
ATAD2B,NTC-10
ATAD2,NTC-10
ATAD3A,NTC-10
ATAD3B,NTC-10
