"Gene","gRNA","p_value"
"ANKRD17","NTC-10",0.478971419471077
"ANKRD18B","NTC-10",0.75025771490535
"ANKRD18DP","NTC-10",0.706589281351413
"ANKRD20A11P","NTC-10",0.945620200475666
"ANKRD20A17P","NTC-10",0.87231885634592
"ANKRD20A1","NTC-10",0.928685833138688
"ANKRD20A21P","NTC-10",0.209523295224219
"ANKRD20A5P","NTC-10",0.468403154278931
"ANKRD20A8P","NTC-10",0.503357230280571
"ANKRD26","NTC-10",0.834399159847494
"ANKRD27","NTC-10",0.0966234496037831
"ANKRD28","NTC-10",0.587098388411865
"ANKRD33B","NTC-10",0.339773845584833
"ANKRD33","NTC-10",0.306725586222403
"ANKRD36B","NTC-10",0.858001089053404
"ANKRD36BP2","NTC-10",0.0525574103068778
"ANKRD36C","NTC-10",0.613578941704985
"ANKRD36","NTC-10",0.942337363954662
"ANKRD37","NTC-10",0.15970054783287
"ANKRD39","NTC-10",0.340702650099161
"ANKRD40","NTC-10",0.571695024731333
"ANKRD42","NTC-10",0.128046895089612
"ANKRD46","NTC-10",0.153183533576717
"ANKRD49","NTC-10",0.992300201810283
"ANKRD50","NTC-10",0.894860240531323
"ANKRD52","NTC-10",0.420042653512457
"ANKRD54","NTC-10",0.533023673718972
"ANKRD9","NTC-10",0.00193247620500821
"ANKS1A","NTC-10",0.31719693722941
"ANKS1B","NTC-10",0.828713001243776
"ANKS3","NTC-10",0.828748538514704
"ANKS6","NTC-10",0.43234281825754
"ANKZF1","NTC-10",0.238611761551711
"ANLN","NTC-10",0.0819856964981467
"ANO10","NTC-10",0.961145582526131
"ANO5","NTC-10",0.797987431981717
"ANO6","NTC-10",0.716843048894757
"ANO8","NTC-10",0.159250810205506
"ANP32A","NTC-10",0.776549902070038
"ANP32B","NTC-10",0.490927119299477
"ANP32E","NTC-10",0.165194676166668
"ANTXR2","NTC-10",0.892300737962338
"ANXA11","NTC-10",0.0461317443116149
"ANXA1","NTC-10",0.405824957688623
"ANXA2","NTC-10",0.509547387093358
"ANXA2R","NTC-10",0.343764677708282
"ANXA3","NTC-10",0.0782668783174326
"ANXA4","NTC-10",0.00354794111089543
"ANXA5","NTC-10",0.0168664841830099
"ANXA6","NTC-10",0.691027834693372
"ANXA7","NTC-10",0.512908085867448
"ANXA9","NTC-10",0.389747468080601
"AP1AR","NTC-10",0.918666590778211
"AP1B1","NTC-10",0.574612930285872
"AP1G1","NTC-10",0.751081762662668
"AP1G2","NTC-10",0.416397298194246
"AP1M1","NTC-10",0.893226090277853
"AP1S1","NTC-10",0.842957426067452
"AP1S2","NTC-10",0.694658358841074
"AP2A1","NTC-10",0.878112811109426
"AP2A2","NTC-10",0.00869795964206449
"AP2B1","NTC-10",0.757564907706748
"AP2M1","NTC-10",0.310561546856939
"AP2S1","NTC-10",0.108247113247003
"AP3B1","NTC-10",0.836958561594702
"AP3D1","NTC-10",0.763189028087345
"AP3M1","NTC-10",0.844797813379669
"AP3M2","NTC-10",0.037623600426172
"AP3S1","NTC-10",0.0443228470897032
"AP3S2","NTC-10",0.499390325702492
"AP4B1","NTC-10",0.991339834243464
"AP4E1","NTC-10",0.804097189550775
"AP4M1","NTC-10",0.0828414397482074
"AP4S1","NTC-10",0.847793333363959
"AP5B1","NTC-10",0.596877837864822
"AP5M1","NTC-10",0.185064811251366
"AP5S1","NTC-10",0.375500620054738
"AP5Z1","NTC-10",0.00602347507455867
"APAF1","NTC-10",0.634658921082739
"APBA2","NTC-10",0.969672741194543
"APBA3","NTC-10",0.0380783626942551
"APBB3","NTC-10",0.628243408976091
"APC2","NTC-10",0.543322074100551
"APC","NTC-10",0.944187362967075
"APEH","NTC-10",0.0224555690888419
"APEX1","NTC-10",0.0783596639426746
"APEX2","NTC-10",0.422388376780474
"APH1A","NTC-10",0.94040054834794
"APH1B","NTC-10",0.0205153088681583
"API5","NTC-10",0.239430165017324
"APIP","NTC-10",0.00360149357259594
"APLP1","NTC-10",0.00105403745570879
"APLP2","NTC-10",0.13392824242622
"APMAP","NTC-10",0.343899587863747
"APOBEC3B","NTC-10",0.23087349191313
"APOBEC3C","NTC-10",0.939059903514577
"APOBEC3F","NTC-10",0.0549987123867315
"APOBEC3G","NTC-10",0.803104807023909
"APOC1","NTC-10",6.11443693307616e-05
"APOL1","NTC-10",0.659662447179253
"APOL2","NTC-10",0.508652056888557
"APOL4","NTC-10",0.771375478808208
"APOL6","NTC-10",0.177194776073407
"APOM","NTC-10",0.206012022231474
"APOOL","NTC-10",0.943283655985919
"APOO","NTC-10",0.765924692810311
"APPBP2","NTC-10",0.466093071867607
"APPL1","NTC-10",0.0183662599547394
"APPL2","NTC-10",0.847668601058727
"APRT","NTC-10",0.00469660013106165
"APTX","NTC-10",0.237508887433971
"AQP10","NTC-10",0.417753968698656
"AQP11","NTC-10",0.31530975266065
"AQP1","NTC-10",0.0272059137698569
"AQP3","NTC-10",0.581576151205951
"AQR","NTC-10",0.580768933976421
"ARAF","NTC-10",0.241104638831268
"ARAP1","NTC-10",0.664382337231663
"ARAP3","NTC-10",0.396563024763351
"ARCN1","NTC-10",0.104910446152275
"AREG","NTC-10",7.00483754288032e-08
"AREL1","NTC-10",0.859303193113897
"ARF1","NTC-10",0.0510000098276591
"ARF3","NTC-10",0.555384592225089
"ARF4","NTC-10",0.410316655988361
"ARF5","NTC-10",0.0623530384696668
"ARF6","NTC-10",0.126415657158944
"ARFGAP1","NTC-10",0.558350146986592
